Timestamp for sample frequency every 30 min min, Temperature_Celsius,Relative_Humidity
2021-12-06 05:56:00,23,29.7
2021-12-06 06:26:00,23,29.6
2021-12-06 06:56:00,23,29.3
2021-12-06 07:26:00,23,29.4
2021-12-06 07:56:00,23,29.3
2021-12-06 08:26:00,23,29.1
2021-12-06 08:56:00,23,29.4
2021-12-06 09:26:00,23,29.8
2021-12-06 09:56:00,22.9,30
2021-12-06 10:26:00,23,29.9
2021-12-06 10:56:00,22.9,30.8
2021-12-06 11:26:00,22.9,31.3
2021-12-06 11:56:00,22.9,32.1
2021-12-06 12:26:00,22.9,32.9
2021-12-06 12:56:00,22.9,33.7
2021-12-06 13:26:00,23,33.5
2021-12-06 13:56:00,22.9,33.1
2021-12-06 14:26:00,22.9,33.9
2021-12-06 14:56:00,22.9,34.4
2021-12-06 15:26:00,22.9,34.7
2021-12-06 15:56:00,22.9,35.2
2021-12-06 16:26:00,22.9,34.8
2021-12-06 16:56:00,22.9,35.1
2021-12-06 17:26:00,22.9,33.5
2021-12-06 17:56:00,22.9,30.6
2021-12-06 18:26:00,22.9,29.4
2021-12-06 18:56:00,22.9,29.4
2021-12-06 19:26:00,22.9,28.9
2021-12-06 19:56:00,22.9,28.6
2021-12-06 20:26:00,22.9,28.3
2021-12-06 20:56:00,22.9,28.2
2021-12-06 21:26:00,22.9,28
2021-12-06 21:56:00,23,27.9
2021-12-06 22:26:00,23,27.9
2021-12-06 22:56:00,23,27.6
2021-12-06 23:26:00,23,27.3
2021-12-06 23:56:00,23,27.2
2021-12-07 00:26:00,23,27.3
2021-12-07 00:56:00,23,27
2021-12-07 01:26:00,23,27.1
2021-12-07 01:56:00,23,27.1
2021-12-07 02:26:00,23,26.8
2021-12-07 02:56:00,23,26.7
2021-12-07 03:26:00,23,26.7
2021-12-07 03:56:00,23.1,26.7
2021-12-07 04:26:00,23,26.5
2021-12-07 04:56:00,23,26.4
2021-12-07 05:26:00,23,26.3
2021-12-07 05:56:00,23,26.2
2021-12-07 06:26:00,23,26.2
2021-12-07 06:56:00,23,26.2
2021-12-07 07:26:00,23,26.6
2021-12-07 07:56:00,23,26.9
2021-12-07 08:26:00,23,26.9
2021-12-07 08:56:00,23,27
2021-12-07 09:26:00,23,27.9
2021-12-07 09:56:00,23,29.4
2021-12-07 10:26:00,22.9,30.3
2021-12-07 10:56:00,22.9,30.8
2021-12-07 11:26:00,23,31.1
2021-12-07 11:56:00,22.9,32.9
2021-12-07 12:26:00,22.9,33.4
2021-12-07 12:56:00,22.9,34
2021-12-07 13:26:00,22.9,34.8
2021-12-07 13:56:00,23.2,34.3
2021-12-07 14:26:00,23,34.6
2021-12-07 14:56:00,23.1,35
2021-12-07 15:26:00,23,35.6
2021-12-07 15:56:00,23,36.4
2021-12-07 16:26:00,23.1,33.3
2021-12-07 16:56:00,23.1,33.2
2021-12-07 17:26:00,23.1,32.9
2021-12-07 17:56:00,23.1,33.3
2021-12-07 18:26:00,23.1,33.4
2021-12-07 18:56:00,23.1,33.1
2021-12-07 19:26:00,23.1,32.6
2021-12-07 19:56:00,23.1,32.7
2021-12-07 20:26:00,23.1,32.2
2021-12-07 20:56:00,23,31.7
2021-12-07 21:26:00,23.1,30.9
2021-12-07 21:56:00,23.1,30.5
2021-12-07 22:26:00,23.1,30
2021-12-07 22:56:00,23,30.2
2021-12-07 23:26:00,23.1,29.4
2021-12-07 23:56:00,23.1,28.8
2021-12-08 00:26:00,22,30.1
2021-12-08 00:56:00,22.7,29.7
2021-12-08 01:26:00,23,29.3
2021-12-08 01:56:00,23,29.2
2021-12-08 02:26:00,23,28.7
2021-12-08 02:56:00,23,28.5
2021-12-08 03:26:00,23,28.4
2021-12-08 03:56:00,23.1,28.5
2021-12-08 04:26:00,23,28.5
2021-12-08 04:56:00,23,28.4
2021-12-08 05:26:00,23,28.1
2021-12-08 05:56:00,23.1,27.8
2021-12-08 06:26:00,23,27.8
2021-12-08 06:56:00,23,27.6
2021-12-08 07:26:00,23.1,27.4
2021-12-08 07:56:00,23,27.3
2021-12-08 08:26:00,23.1,27.1
2021-12-08 08:56:00,23.1,27.2
2021-12-08 09:26:00,23.1,27.1
2021-12-08 09:56:00,23.1,27.1
2021-12-08 10:26:00,23,27.1
2021-12-08 10:56:00,23.1,27
2021-12-08 11:26:00,23,27.3
2021-12-08 11:56:00,23.1,27.4
2021-12-08 12:26:00,23.1,27.8
2021-12-08 12:56:00,23.1,27.5
2021-12-08 13:26:00,23.1,27.4
2021-12-08 13:56:00,23,27.3
2021-12-08 14:26:00,23,27
2021-12-08 14:56:00,23.1,26.7
2021-12-08 15:26:00,23,26.6
2021-12-08 15:56:00,23.1,26.2
2021-12-08 16:26:00,23,26.2
2021-12-08 16:56:00,23.1,26
2021-12-08 17:26:00,23.1,25.8
2021-12-08 17:56:00,23,25.5
2021-12-08 18:26:00,23,25.3
2021-12-08 18:56:00,23,26
2021-12-08 19:26:00,23.1,26.3
2021-12-08 19:56:00,23.1,26.3
2021-12-08 20:26:00,23.1,26.5
2021-12-08 20:56:00,23.1,27.6
2021-12-08 21:26:00,23.2,27.4
2021-12-08 21:56:00,23.1,27.3
2021-12-08 22:26:00,23.1,27
2021-12-08 22:56:00,23.2,27.2
2021-12-08 23:26:00,23.1,27.5
2021-12-08 23:56:00,23,27.4
2021-12-09 00:26:00,23.1,27.1
2021-12-09 00:56:00,23.1,27
2021-12-09 01:26:00,23.1,27.2
2021-12-09 01:56:00,23.1,27.2
2021-12-09 02:26:00,23.1,26.8
2021-12-09 02:56:00,23.2,26.2
2021-12-09 03:26:00,23.1,26.1
2021-12-09 03:56:00,23.1,26.1
2021-12-09 04:26:00,23.1,26.2
2021-12-09 04:56:00,23.1,26.4
2021-12-09 05:26:00,23.1,26.5
2021-12-09 05:56:00,23.1,26.5
2021-12-09 06:26:00,22.8,27.1
2021-12-09 06:56:00,22.7,27.2
2021-12-09 07:26:00,22.7,27.1
2021-12-09 07:56:00,22.8,27.1
2021-12-09 08:26:00,22.8,27.1
2021-12-09 08:56:00,22.8,27.1
2021-12-09 09:26:00,22.8,27.3
2021-12-09 09:56:00,22.6,27.6
2021-12-09 10:26:00,22.7,27.7
2021-12-09 10:56:00,22.7,27.8
2021-12-09 11:26:00,22.6,28.1
2021-12-09 11:56:00,22.7,28
2021-12-09 12:26:00,22.5,28.1
2021-12-09 12:56:00,22.6,27.8
2021-12-09 13:26:00,22.7,27.8
2021-12-09 13:56:00,22.7,27.7
2021-12-09 14:26:00,22.7,28.1
2021-12-09 14:56:00,22.7,28.7
2021-12-09 15:26:00,22.6,29.1
2021-12-09 15:56:00,22.7,29.1
2021-12-09 16:26:00,22.7,29.1
2021-12-09 16:56:00,22.7,29.5
2021-12-09 17:26:00,22.7,29.6
2021-12-09 17:56:00,22.7,30.5
2021-12-09 18:26:00,22.7,30.7
2021-12-09 18:56:00,22.6,32.5
2021-12-09 19:26:00,22.7,34.7
2021-12-09 19:56:00,22.6,35.3
2021-12-09 20:26:00,22.7,35.3
2021-12-09 20:56:00,22.7,36.4
2021-12-09 21:26:00,22.6,37.2
2021-12-09 21:56:00,22.7,37
2021-12-09 22:26:00,22.6,37.8
2021-12-09 22:56:00,22.7,39
2021-12-09 23:26:00,22.7,39.3
2021-12-09 23:56:00,22.6,39.3
2021-12-10 00:26:00,22.6,39.7
2021-12-10 00:56:00,22.7,38.8
2021-12-10 01:26:00,22.5,38
2021-12-10 01:56:00,22.7,37.6
2021-12-10 02:26:00,22.6,37.1
2021-12-10 02:56:00,22.6,36.5
2021-12-10 03:26:00,22.7,35.6
2021-12-10 03:56:00,22.7,34.5
2021-12-10 04:26:00,22.6,33.5
2021-12-10 04:56:00,22.7,32.5
2021-12-10 05:26:00,22.8,31
2021-12-10 05:56:00,22.7,30.2
2021-12-10 06:26:00,22.7,29.9
2021-12-10 06:56:00,22.8,29.3
2021-12-10 07:26:00,22.7,29
2021-12-10 07:56:00,22.8,28.6
2021-12-10 08:26:00,22.7,28.6
2021-12-10 08:56:00,22.7,28.4
2021-12-10 09:26:00,22.8,28.2
2021-12-10 09:56:00,22.7,28
2021-12-10 10:26:00,22.7,28
2021-12-10 10:56:00,22.8,28.1
2021-12-10 11:26:00,22.8,27.8
2021-12-10 11:56:00,22.8,27.9
2021-12-10 12:26:00,22.7,27.7
2021-12-10 12:56:00,22.7,27.6
2021-12-10 13:26:00,22.7,27.6
2021-12-10 13:56:00,22.6,27.5
2021-12-10 14:26:00,22.7,27.4
2021-12-10 14:56:00,22.6,27.6
2021-12-10 15:26:00,22.7,27.3
2021-12-10 15:56:00,22.8,27.5
2021-12-10 16:26:00,22.8,26.9
2021-12-10 16:56:00,22.9,27.1
2021-12-10 17:26:00,22.8,27.2
2021-12-10 17:56:00,22.8,27.4
2021-12-10 18:26:00,22.8,27.7
2021-12-10 18:56:00,22.8,27.5
2021-12-10 19:26:00,22.9,27.4
2021-12-10 19:56:00,22.9,27.3
2021-12-10 20:26:00,22.9,27.4
2021-12-10 20:56:00,22.9,27.2
2021-12-10 21:26:00,22.8,27.1
2021-12-10 21:56:00,22.9,26.9
2021-12-10 22:26:00,22.9,26.7
2021-12-10 22:56:00,22.8,26.7
2021-12-10 23:26:00,22.8,26.9
2021-12-10 23:56:00,22.9,26.6
2021-12-11 00:26:00,22.8,26.7
2021-12-11 00:56:00,22.8,26.7
2021-12-11 01:26:00,22.9,26.6
2021-12-11 01:56:00,22.9,26.7
2021-12-11 02:26:00,22.8,26.7
2021-12-11 02:56:00,22.8,26.7
2021-12-11 03:26:00,22.8,26.8
2021-12-11 03:56:00,22.9,26.7
2021-12-11 04:26:00,22.8,26.9
2021-12-11 04:56:00,22.8,26.9
2021-12-11 05:26:00,22.9,27
2021-12-11 05:56:00,22.9,27.2
2021-12-11 06:26:00,22.9,27.2
2021-12-11 06:56:00,22.8,27.4
2021-12-11 07:26:00,22.8,27.4
2021-12-11 07:56:00,22.9,27.5
2021-12-11 08:26:00,22.8,27.7
2021-12-11 08:56:00,22.8,27.6
2021-12-11 09:26:00,22.8,27.8
2021-12-11 09:56:00,22.8,27.9
2021-12-11 10:26:00,22.8,28.2
2021-12-11 10:56:00,22.8,28.5
2021-12-11 11:26:00,22.9,28.7
2021-12-11 11:56:00,22.8,28.9
2021-12-11 12:26:00,22.8,29.3
2021-12-11 12:56:00,22.9,29.6
2021-12-11 13:26:00,22.8,30.8
2021-12-11 13:56:00,22.9,31.5
2021-12-11 14:26:00,22.8,32.5
2021-12-11 14:56:00,22.7,32.9
2021-12-11 15:26:00,22.7,33.9
2021-12-28 21:56:00,19.5,43.1
2021-12-28 22:26:00,19.4,42.7
2021-12-28 22:56:00,19.4,43.5
2021-12-28 23:26:00,19.4,44.4
2021-12-28 23:56:00,19.4,44.6
2021-12-29 00:26:00,19.4,44.6
2021-12-29 00:56:00,19.4,44.9
2021-12-29 01:26:00,19.4,44.8
2021-12-29 01:56:00,19.4,44.8
2021-12-29 02:26:00,19.3,45
2021-12-29 02:56:00,19.4,44.6
2021-12-29 03:26:00,20.4,42.7
2021-12-29 03:56:00,19.6,44.2
2021-12-29 04:26:00,19.5,44.6
2021-12-29 04:56:00,19.4,45.1
2021-12-29 05:26:00,19.4,45.4
2021-12-29 05:56:00,19.4,46.9
2021-12-29 06:26:00,19.4,48.7
